"Product page","Category","Etsy SKU","Child inventory SKU","Quantity per pack"
"2","acrylic","ACR-PNTSWRL-RED2-20MM-5PK","ACR-PNTSWRL-RED2-20MM-1PK","5"
"3D Bead","focal-beads","FOC-ANI-3D-BRN-BBYCW-5PK","FOC-ANI-3D-BRN-BBYCW-1PK","5"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-HOHOHO-20MM-20PK","ACR-HOHOHO-20MM-1PK","20"
"Wine Focal Bead","focal-beads","FOC-ADT-WNE-ENDS-5PK","FOC-ADT-WNE-ENDS-1PK","5"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-SNTAKNWHM-20MM-20PK","ACR-SNTAKNWHM-20MM-1PK","20"
"15mm Bead","charms-dangles","SIL15-PRNT-PNKUNI-5PK","SIL15-PRNT-PNKUNI-1PK","5"
"Elephant Bead","focal-beads","FOC-ANI-DKPNK-ELEPH-5PK","FOC-ANI-DKPNK-ELEPH-1PK","5"
"18mm Marbled Pumpkin XL Hole Bead","acrylic","ACR-18MM-YELMRBL-PMKN-5PK","ACR-18MM-YELMRBL-PMKN-1PK","5"
"16mm Crochet Bead","spacers-accessories","ACC-CRCHT-ORG-10PK","ACC-CRCHT-ORG-1PK","10"
"3D Bead","charms-dangles","FOC-XMS-3D-WHTTREE-5PK","FOC-XMS-3D-WHTTREE-1PK","5"
"Flower Bead","focal-beads","FOC-SPR-REDFLWR-5PK","FOC-SPR-REDFLWR-1PK","5"
"Large Hole  pacer","spacers-accessories","ACC-FRRY-TURQ-5PK","ACC-FRRY-TURQ-1PK","5"
"Toa t Focal Bead","focal-beads","FOC-FOD-PURTOST-5PK","FOC-FOD-PURTOST-1PK","5"
"Ea ter Bead","silicone","SIL15-PRNT-ESTRPLD-5PK","SIL15-PRNT-ESTRPLD-1PK","5"
"Beaded Pen Blank","beadable-pen-blanks","PEN-SOL-PUR-5PK","PEN-SOL-PUR-1PK","5"
"Beaded Pen Blank","beadable-pen-blanks","PEN-SOL-MATTEPNK-5PK","PEN-SOL-MATTEPNK-1PK","5"
"16mm Acrylic Bead","acrylic","ACR-16MM-SHIM-YEL-10PK","ACR-16MM-SHIM-YEL-1PK","10"
"Halloween Bead","uncategorized","SIL15-PRNT-HLLWNWHT-10PK","SIL15-PRNT-HLLWNWHT-1PK","10"
"20mm Black Purple Rhine tone  wirl Bead","rhinestone-beads","RHNST-SWRL-BLKPUR-10PK","RHNST-SWRL-BLKPUR-1PK","10"
"20mm Acrylic Bead","mixes-bundles-kits","ACR-20MM-GLTTR-DKPNK-10PK","ACR-20MM-GLTTR-DKPNK-10PK","10"
"Silicone Summer Green Spacer Beads Round Abacus Lentil Beads 12mm 14mm 15mm for Beadable Pens Keychains DIY Crafts Bulk 5pc 10pc","spacers-accessories","SIL-15MM-SMMRGRN-10PK","SIL-15MM-SMMRGRN-1PK","10"
"20mm Acrylic Bead","mixes-bundles-kits","ACR-20MM-GLTTR-GLD-10PK","ACR-20MM-GLTTR-GLD-10PK","10"
"Big Flower Bead","focal-beads","FOC-SPR-BGBRWFLWR-5PK","FOC-SPR-BGBRWFLWR-1PK","5"
"16mm Bead","mixes-bundles-kits","ACR-16MM-METAL-DKPNK-10PK","ACR-16MM-METAL-DKPNK-1PK","10"
"16mm Bead","mixes-bundles-kits","ACR-16MM-UVAB-DKPNK-10PK","ACR-16MM-UVAB-DKPNK-1PK","10"
"Acrylic Flatback","charms-dangles","FLB-CZYSSN-5PK","FLB-CZYSSN-1PK","5"
"ilicone Round Bead","spacers-accessories","SIL-LENT-METSLV-10PK","SIL-LENT-METSLV-1PK","10"
"2","acrylic","ACR-PNTSPLT-PTRTC-20MM-20PK","ACR-PNTSPLT-PTRTC-20MM-1PK","20"
"20mm Bead","rhinestone-beads","RHNST-REDSLV-20MM-5PK","RHNST-REDSLV-20MM-1PK","5"
"20mm  olid Light Brown Bead","acrylic","ACR-20MM-SLD-LTBRN-5PK","ACR-20MM-SLD-LTBRN-1PK","5"
"ilicone Round Bead","focal-beads","SIL-ABA-XMASGRN-5PK","SIL-ABA-XMASGRN-1PK","5"
"port  Bead","charms-dangles","FOC-SPT-SFTBLLHRT-5PK","FOC-SPT-SFTBLLHRT-1PK","5"
"Acrylic Flatback","charms-dangles","FLB-HIDENSEEK-5PK","FLB-HIDENSEEK-1PK","5"
"20mm Bubblegum Bead","rhinestone-beads","ACR-PCHMIX-20MM-5PK","ACR-PCHMIX-20MM-1PK","5"
"18mm Marbled Pumpkin XL Hole Bead","acrylic","ACR-18MM-ORGMRBL-PMKN-5PK","ACR-18MM-ORGMRBL-PMKN-1PK","5"
"ilicone Round Bead","spacers-accessories","SIL-15MM-ARMYGRN-10PK","SIL-15MM-ARMYGRN-1PK","10"
"Horror Character Bead","focal-beads","FOC-HAL-ANNBLL-5PK","FOC-HAL-ANNBLL-1PK","5"
"20mm Rhine tone Bead","rhinestone-beads","RHNST-SPRLBLKSLV-20MM-5PK","RHNST-SPRLBLKSLV-20MM-1PK","5"
"Autumn Vibe  Bead","focal-beads","FOC-HOL-ATMNVBS-5PK","FOC-HOL-ATMNVBS-1PK","5"
"Beadable Keychain Blank","beadable-products","BLK-KYCHN-STAR-YEL-5PK","BLK-KYCHN-STAR-YEL-1PK","5"
"2","acrylic","ACR-PNTSPLT-90s-20MM-10PK","ACR-PNTSPLT-90s-20MM-1PK","10"
"16mm Bead","acrylic","ACR-16MM-UVAB-DKBLU-10PK","ACR-16MM-UVAB-DKBLU-1PK","10"
"Large Hole  pacer","spacers-accessories","ACC-MRBLE-WHT-10PK","ACC-MRBLE-WHT-1PK","10"
"Large Hole  pacer","spacers-accessories","ACC-MRBLE-PUR-5PK","ACC-MRBLE-PUR-1PK","5"
"ilicone Round Bead","focal-beads","SIL-LENT-GRY-10PK","SIL-LENT-GRY-1PK","10"
"Bird Bead","focal-beads","FOC-SPR-BRDHSE-PNK-5PK","FOC-SPR-BRDHSE-PNK-1PK","5"
"Mental Breakdown Bead","focal-beads","FOC-SAR-MENTAL-5PK","FOC-SAR-MENTAL-1PK","5"
"Ea ter Bead","charms-dangles","FOC-HOL-STTNGEGGBNNY-5PK","FOC-HOL-STTNGEGGBNNY-1PK","5"
"Large Hole  pacer","spacers-accessories","ACC-CRCKD-RED-10PK","ACC-CRCKD-RED-1PK","10"
"Acrylic  tar Charm","charms-dangles","ACC-CHRM-HOLOSTR-5PK","ACC-CHRM-HOLOSTR-1PK","5"
"Pa tel Green Acrylic Bead","acrylic","ACR-16MM-PSTL-GRN-5PK","ACR-16MM-PSTL-GRN-1PK","5"
"Chao  Coordinator Bead","focal-beads","FOC-SAR-CHAOS-5PK","FOC-SAR-CHAOS-1PK","5"
"Wavy  pacer","spacers-accessories","ACC-WAVY-GLD-10PK","ACC-WAVY-GLD-1PK","10"
"Acrylic Flatback","charms-dangles","FLB-SHKRSNTA-5PK","FLB-SHKRSNTA-1PK","5"
"3D Dumpling  ilicone Focal Bead","focal-beads","FOC-FOD-WHTDMPLNG-5PK","FOC-FOD-WHTDMPLNG-1PK","5"
"Cancer Awarene  Bead","focal-beads","FOC-MSC-RBBNBLU-5PK","FOC-MSC-RBBNBLU-1PK","5"
"20mm Bubblegum Bead","acrylic","ACR-PPPRMNT-20MM-5PK","ACR-PPPRMNT-20MM-1PK","5"
"8 Ball Acrylic Bead","acrylic","ACR-16MM-8BLL-10PK","ACR-16MM-8BLL-1PK","10"
"3D Bead Bat Bead","focal-beads","FOC-HAL-3D-VMPRE-5PK","FOC-HAL-3D-VMPRE-1PK","5"
"Gnome Bead","focal-beads","FOC-HAL-GRYPMPKNGNM-5PK","FOC-HAL-GRYPMPKNGNM-1PK","5"
"ilicone Round Bead","focal-beads","SIL-12MM-MAG-10PK","SIL-12MM-MAG-1PK","10"
"3D Animal Focal  ilicone Bead","focal-beads","FOC-ANI-3D-FROG-5PK","FOC-ANI-3D-FROG-1PK","5"
"3D Bead Dolphin Bead","focal-beads","FOC-ANI-3D-LTGRYDLPHN-5PK","FOC-ANI-3D-LTGRYDLPHN-1PK","5"
"20mm  olid Black Bead","acrylic","ACR-20MM-SLD-BLK-5PK","ACR-20MM-SLD-BLK-1PK","5"
"16mm Acrylic Bead","acrylic","ACR-16MM-SHIM-LTGRN-10PK","ACR-16MM-SHIM-LTGRN-1PK","10"
"ilicone Round Bead","focal-beads","SIL-12MM-NVYBLU-10PK","SIL-12MM-NVYBLU-1PK","10"
"Large Hole  pacer","spacers-accessories","ACC-FRRY-BLU-25PK","ACC-FRRY-BLU-1PK","25"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-CKKIESHP-20MM-10PK","ACR-CKKIESHP-20MM-1PK","10"
"port  Bow  ilicone Focal Bead","focal-beads","FOC-SPT-VLLYBLLBGBW-5PK","FOC-SPT-VLLYBLLBGBW-1PK","5"
"3D Focal Bead","focal-beads","FOC-MSC-3D-BOYALEN-5PK","FOC-MSC-3D-BOYALEN-1PK","5"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-TRTLE-20MM-20PK","ACR-TRTLE-20MM-1PK","20"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-READ-20MM-20PK","ACR-READ-20MM-1PK","20"
"Acrylic Flatback","charms-dangles","FLB-SQRRL-5PK","FLB-SQRRL-1PK","5"
"Di c  pacer","spacers-accessories","ACC-DISC-SLV-50PK","ACC-DISC-SLV-1PK","50"
"W","acrylic-flatbacks","FLB-GRLSOPTNS-5PK","FLB-GRLSOPTNS-1PK","5"
"16mm Bead","mixes-bundles-kits","ACR-16MM-METAL-LTPNK-10PK","ACR-16MM-METAL-LTPNK-1PK","10"
"Ca ino  ilicone Bead","focal-beads","FOC-REC-CRDSFLSHRT-5PK","FOC-REC-CRDSFLSHRT-1PK","5"
"10mm Sports Bead","spacers-accessories","ACR-10MM-SPRTS-FTBLL-50PK","ACR-10MM-SPRTS-FTBLL-1PK","50"
"Rainbow Bead","focal-beads","FOC-SPR-BLURNBW-5PK","FOC-SPR-BLURNBW-1PK","5"
"Cro  Bead","focal-beads","FOC-MSC-HTPNKFLWRCRSS-5PK","FOC-MSC-HTPNKFLWRCRSS-1PK","5"
"15mm Round Printed  ilicone Bead","mixes-bundles-kits","SIL15-PRNT-MOSAIC-5PK","SIL15-PRNT-MOSAIC-1PK","5"
"Mama Bead","focal-beads","FOC-FAM-PNKBWMOM-5PK","FOC-FAM-PNKBWMOM-1PK","5"
"Pen Ink Refill","beadable-products","ACC-INK-PNK-5PK","ACC-INK-PNK-1PK","5"
"M","mixes-bundles-kits","SIL15-PRNT-YELMRBL-10PK","SIL15-PRNT-YELMRBL-1PK","10"
"ilicone Round Bead","focal-beads","SIL-15MM-XMASGRN-10PK","SIL-15MM-XMASGRN-1PK","10"
"Bee Bead","focal-beads","FOC-ANI-LTPNKBEE-5PK","FOC-ANI-LTPNKBEE-1PK","5"
"Pot Leaf Bead","uncategorized","SIL15-PRNT-PTLFGRN-5PK","SIL15-PRNT-PTLFGRN-1PK","5"
"Beaded Pen Blank","beadable-pen-blanks","PEN-SOL-HOTPNK-5PK","PEN-SOL-HOTPNK-1PK","5"
"Wine  topper","beadable-products","BLK-WNSTPPR-DKPNK-2PK","BLK-WNSTPPR-DKPNK-1PK","2"
"3D Bead Dolphin Bead","focal-beads","FOC-ANI-3D-PSTLBLUDLN-5PK","FOC-ANI-3D-PSTLBLUDLN-1PK","5"
"Dog Paw Keychain Bar","beadable-products","BLK-DOGPAW-LTORG-5PK","BLK-DOGPAW-LTORG-1PK","5"
"Wine  topper","beadable-products","BLK-WNSTPPR-YEL-2PK","BLK-WNSTPPR-YEL-1PK","2"
"Badge Reel","beadable-products","BLK-BDRL-CLIP-BLK-3PK","BLK-BDRL-CLIP-BLK-1PK","3"
"Coach  ilicone Focal Bead","focal-beads","FOC-SPT-BSKTBLLCCH-5PK","FOC-SPT-BSKTBLLCCH-1PK","5"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-PWPRNT-20MM-5PK","ACR-PWPRNT-20MM-1PK","5"
"Gho t Bead","focal-beads","FOC-HAL-SMGHSTWHT-5PK","FOC-HAL-SMGHSTWHT-1PK","5"
"Large Hole  pacer","spacers-accessories","ACC-FRRY-PUR-5PK","ACC-FRRY-PUR-1PK","5"
"Red Bead Mix","mixes-bundles-kits","ACR-REDMIXNEW-20MM-5PK","ACR-REDMIXNEW-20MM-1PK","5"
