"Product page","Category","Etsy SKU","Inventory SKU","Quantity per Etsy unit","Reason"
"Rhine tone Butterfly  pacer Bead","rhinestone-beads","ACC-FNCY-CLR-BUTT-1PK","ACC-FNCY-CLR-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-CLR-HRT-1PK","ACC-FNCY-CLR-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-CLR-SQU-1PK","ACC-FNCY-CLR-SQU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Bow  pacer Bead","rhinestone-beads","ACC-FNCY-DKBLU-BOW-1PK","ACC-FNCY-DKBLU-BOW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Bow  pacer Bead","rhinestone-beads","ACC-FNCY-GNMTLBLK-BOW-1PK","ACC-FNCY-GNMTLBLK-BOW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Bow  pacer Bead","rhinestone-beads","ACC-FNCY-GRN-BOW-1PK","ACC-FNCY-GRN-BOW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Butterfly  pacer Bead","rhinestone-beads","ACC-FNCY-GRN-BUTT-1PK","ACC-FNCY-GRN-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-GRN-SQU-1PK","ACC-FNCY-GRN-SQU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Bow  pacer Bead","rhinestone-beads","ACC-FNCY-IRIDSCNT-BOW-1PK","ACC-FNCY-IRIDSCNT-BOW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-LTBLU-SQU-1PK","ACC-FNCY-LTBLU-SQU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Bow  pacer Bead","rhinestone-beads","ACC-FNCY-PNK-BOW-1PK","ACC-FNCY-PNK-BOW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-PNK-HRT-1PK","ACC-FNCY-PNK-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-PNK-SQU-1PK","ACC-FNCY-PNK-SQU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Bow  pacer Bead","rhinestone-beads","ACC-FNCY-PUR-BOW-1PK","ACC-FNCY-PUR-BOW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-PUR-SQU-1PK","ACC-FNCY-PUR-SQU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Bow  pacer Bead","rhinestone-beads","ACC-FNCY-RED-BOW-1PK","ACC-FNCY-RED-BOW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Butterfly  pacer Bead","rhinestone-beads","ACC-FNCY-RED-BUTT-1PK","ACC-FNCY-RED-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-RED-HRT-1PK","ACC-FNCY-RED-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-RED-SQU-1PK","ACC-FNCY-RED-SQU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVBLU-BUTT-1PK","ACC-FNCY-UVBLU-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVGRN-BUTT-1PK","ACC-FNCY-UVGRN-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVGRN-HRT-1PK","ACC-FNCY-UVGRN-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVIRID-BUTT-1PK","ACC-FNCY-UVIRID-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVLKBLU-HRT-1PK","ACC-FNCY-UVLKBLU-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVLTBLU-BUTT-1PK","ACC-FNCY-UVLTBLU-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVPCH-BUTT-1PK","ACC-FNCY-UVPCH-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVPNK-BUTT-1PK","ACC-FNCY-UVPNK-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVPNK-HRT-1PK","ACC-FNCY-UVPNK-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVPUR-BUTT-1PK","ACC-FNCY-UVPUR-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVPUR-HRT-1PK","ACC-FNCY-UVPUR-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVWHT-BUTT-1PK","ACC-FNCY-UVWHT-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVYEL-BUTT-1PK","ACC-FNCY-UVYEL-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-UVYEL-HRT-1PK","ACC-FNCY-UVYEL-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-WHT-HRT-1PK","ACC-FNCY-WHT-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-WHT-SQU-1PK","ACC-FNCY-WHT-SQU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Rhine tone Butterfly  pacer Bead","rhinestone-beads","ACC-FNCY-YEL-BUTT-1PK","ACC-FNCY-YEL-BUTT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Fancy Rhine tone Bead","rhinestone-beads","ACC-FNCY-YEL-HRT-1PK","ACC-FNCY-YEL-HRT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"10mm Gem Spacer","rhinestone-beads","ACC-GEM-SLV-10MM-1PK","ACC-GEM-SLV-10MM-1PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-BLK-1PK","ACC-KYCHNTMBLR-BLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mini Tumbler Keychain","uncategorized","ACC-KYCHNTMBLR-BLU-1PK","ACC-KYCHNTMBLR-BLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
