"Product page","Category","Etsy SKU","Inventory SKU","Quantity per Etsy unit","Reason"
"ticker Heart Beadable Cup Charm Blank","beadable-products","BLK-STCKR-HRT-KYCHN-SLV-1PK","BLK-STCKR-HRT-KYCHN-SLV-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"ticker Heart Beadable Cup Charm Blank","beadable-products","BLK-STCKR-HRT-KYCHN-WHT-1PK","BLK-STCKR-HRT-KYCHN-WHT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"ticker Heart Beadable Cup Charm Blank","beadable-products","BLK-STCKR-HRT-KYCHN-YEL-1PK","BLK-STCKR-HRT-KYCHN-YEL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup  traw Attachment","charms-dangles","BLK-STRWCHMNT-BLK-1PK","BLK-STRWCHMNT-BLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup  traw Attachment","charms-dangles","BLK-STRWCHMNT-BLU-1PK","BLK-STRWCHMNT-BLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup  traw Attachment","charms-dangles","BLK-STRWCHMNT-GRY-1PK","BLK-STRWCHMNT-GRY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup  traw Attachment","charms-dangles","BLK-STRWCHMNT-LTBLU-1PK","BLK-STRWCHMNT-LTBLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup  traw Attachment","charms-dangles","BLK-STRWCHMNT-PNK-1PK","BLK-STRWCHMNT-PNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup  traw Attachment","charms-dangles","BLK-STRWCHMNT-WHT-1PK","BLK-STRWCHMNT-WHT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup  traw Attachment","charms-dangles","BLK-STRWCHMNT-YEL-1PK","BLK-STRWCHMNT-YEL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-BLK-1PK","BLK-STRWKYCHN-BLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-BLU-1PK","BLK-STRWKYCHN-BLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-GRY-1PK","BLK-STRWKYCHN-GRY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-MIX-9PK","BLK-STRWKYCHN-MIX-9PK","9","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-ORG-1PK","BLK-STRWKYCHN-ORG-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-PNK-1PK","BLK-STRWKYCHN-PNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-PUR-1PK","BLK-STRWKYCHN-PUR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-RED-1PK","BLK-STRWKYCHN-RED-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-WHT-1PK","BLK-STRWKYCHN-WHT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable Cup  traw Keychain","beadable-products","BLK-STRWKYCHN-YEL-1PK","BLK-STRWKYCHN-YEL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable  tylu","beadable-products","BLK-STYLS-BLK-1PK","BLK-STYLS-BLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable  tylu","beadable-products","BLK-STYLS-BLU-1PK","BLK-STYLS-BLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable  tylu","beadable-products","BLK-STYLS-GRY-1PK","BLK-STYLS-GRY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable  tylu","beadable-products","BLK-STYLS-OMBRBLK-1PK","BLK-STYLS-OMBRBLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable  tylu","beadable-products","BLK-STYLS-OMBRRED-1PK","BLK-STYLS-OMBRRED-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable  tylu","beadable-products","BLK-STYLS-PNK-1PK","BLK-STYLS-PNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable  tylu","beadable-products","BLK-STYLS-PUR-1PK","BLK-STYLS-PUR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beadable  tylu","beadable-products","BLK-STYLS-WHT-1PK","BLK-STYLS-WHT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-BLK-1PK","BLK-WIRE-BLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-BLU-1PK","BLK-WIRE-BLU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-DKGRN-1PK","BLK-WIRE-DKGRN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-GRY-1PK","BLK-WIRE-GRY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-LTGRY-1PK","BLK-WIRE-LTGRY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-ORG-1PK","BLK-WIRE-ORG-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-PNK-1PK","BLK-WIRE-PNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-PUR-1PK","BLK-WIRE-PUR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-RED-1PK","BLK-WIRE-RED-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-WHT-1PK","BLK-WIRE-WHT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cup Charm Wire","beadable-products","BLK-WIRE-YEL-1PK","BLK-WIRE-YEL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-BLK-1PK","BLK-WNSTPPR-BLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-DKPNK-1PK","BLK-WNSTPPR-DKPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-HTPNK-1PK","BLK-WNSTPPR-HTPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-LMGRN-1PK","BLK-WNSTPPR-LMGRN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-LTPNK-1PK","BLK-WNSTPPR-LTPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-MIX-11PK","BLK-WNSTPPR-MIX-11PK","11","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-ORG-1PK","BLK-WNSTPPR-ORG-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-PUR-1PK","BLK-WNSTPPR-PUR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-RED-1PK","BLK-WNSTPPR-RED-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-TEAL-1PK","BLK-WNSTPPR-TEAL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-WHT-1PK","BLK-WNSTPPR-WHT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wine  topper","beadable-products","BLK-WNSTPPR-YEL-1PK","BLK-WNSTPPR-YEL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"ilicone Bead Elf Bundle Kit","focal-beads","BNDLE-ELF-KIT","BNDLE-ELF-KIT","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"t Patrick’  Day Beadable Pen Kit","focal-beads","BUNDLE-STPTRCKSDAY-60PC","BUNDLE-STPTRCKSDAY-60PC","60","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm Rhine tone Bead","clearance-section","CLEARANCE-14MMPNKRHNSTNE","CLEARANCE-14MMPNKRHNSTNE","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Coral Acrylic Bead  16mm","clearance-section","CLEARANCE-16MM-UVCORAL-20PK","CLEARANCE-16MM-UVCORAL-20PK","20","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Gingerbread Acrylic Bead  10 Pack","clearance-section","CLEARANCE-BADCOOKIE-10PK","CLEARANCE-BADCOOKIE-10PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mama Bead","focal-beads","CLEARANCE-BYMOM","CLEARANCE-BYMOM","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"20mm Chrome Blue Acrylic Bead","clearance-section","CLEARANCE-CHRME-BLU-10PK","CLEARANCE-CHRME-BLU-10PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"20mm Coral Orange Acrylic Bead","clearance-section","CLEARANCE-CRLORG-10PK","CLEARANCE-CRLORG-10PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Doctor  crub Bead","focal-beads","CLEARANCE-DCTRSCRB-BLK","CLEARANCE-DCTRSCRB-BLK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Doctor  crub Bead","focal-beads","CLEARANCE-DCTRSCRB-FSCA","CLEARANCE-DCTRSCRB-FSCA","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Doctor  crub Bead","focal-beads","CLEARANCE-DCTRSCRB-LTPNK","CLEARANCE-DCTRSCRB-LTPNK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Doctor  crub Bead","focal-beads","CLEARANCE-DCTRSCRB-MNTGRN","CLEARANCE-DCTRSCRB-MNTGRN","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Doctor  crub Bead","focal-beads","CLEARANCE-DCTRSCRB-PCH","CLEARANCE-DCTRSCRB-PCH","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Doctor  crub Bead","focal-beads","CLEARANCE-DCTRSCRB-PUR","CLEARANCE-DCTRSCRB-PUR","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm  ilicone Abacu  Bead","clearance-section","CLEARANCE-DKTEAL-ABA","CLEARANCE-DKTEAL-ABA","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Large Fancy Rhine tone  quare Bead","rhinestone-beads","CLEARANCE-FNCY-GRN-1PK","CLEARANCE-FNCY-GRN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Large Fancy Rhine tone  quare Bead","rhinestone-beads","CLEARANCE-FNCY-RED-1PK","CLEARANCE-FNCY-RED-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mama Bead","focal-beads","CLEARANCE-GRLMOM-1PK","CLEARANCE-GRLMOM-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cute Kitty Cat Bead","clearance-section","CLEARANCE-KTTYCT-BLU","CLEARANCE-KTTYCT-BLU","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cute Kitty Cat Bead","clearance-section","CLEARANCE-KTTYCT-LLC","CLEARANCE-KTTYCT-LLC","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cute Kitty Cat Bead","clearance-section","CLEARANCE-KTTYCT-MSSGRN","CLEARANCE-KTTYCT-MSSGRN","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cute Kitty Cat Bead","clearance-section","CLEARANCE-KTTYCT-ORG","CLEARANCE-KTTYCT-ORG","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cute Kitty Cat Bead","clearance-section","CLEARANCE-KTTYCT-PNK","CLEARANCE-KTTYCT-PNK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Mermaid Acrylic Bead","clearance-section","CLEARANCE-LETSBEMRMADS-10PK","CLEARANCE-LETSBEMRMADS-10PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm Rhine tone Bead","clearance-section","CLEARANCE-LMGRN-50PK","CLEARANCE-LMGRN-50PK","50","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm  ilicone Abacu  Bead","clearance-section","CLEARANCE-LTBLU-ABA","CLEARANCE-LTBLU-ABA","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm  ilicone Abacu  Bead","clearance-section","CLEARANCE-LTPNK-12MM","CLEARANCE-LTPNK-12MM","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm  ilicone Abacu  Bead","clearance-section","CLEARANCE-LTPNK-ABA","CLEARANCE-LTPNK-ABA","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"crub Top Bead","charms-dangles","CLEARANCE-NRSCRB-BEIG","CLEARANCE-NRSCRB-BEIG","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"crub Top Bead","charms-dangles","CLEARANCE-NRSCRB-GRY","CLEARANCE-NRSCRB-GRY","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"crub Top Bead","charms-dangles","CLEARANCE-NRSCRB-MNTGRN","CLEARANCE-NRSCRB-MNTGRN","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"crub Top Bead","charms-dangles","CLEARANCE-NRSCRB-WHT","CLEARANCE-NRSCRB-WHT","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Narwhal Bead","focal-beads","CLEARANCE-NRWHL-BLU","CLEARANCE-NRWHL-BLU","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Narwhal Bead","focal-beads","CLEARANCE-NRWHL-DKGRY","CLEARANCE-NRWHL-DKGRY","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Narwhal Bead","focal-beads","CLEARANCE-NRWHL-LTMNT","CLEARANCE-NRWHL-LTMNT","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Narwhal Bead","focal-beads","CLEARANCE-NRWHL-LTPNK","CLEARANCE-NRWHL-LTPNK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Narwhal Bead","focal-beads","CLEARANCE-NRWHL-MNTGRN","CLEARANCE-NRWHL-MNTGRN","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-BEIG","CLEARANCE-PLKDT-BEIG","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-DKRED","CLEARANCE-PLKDT-DKRED","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-MNTGRN","CLEARANCE-PLKDT-MNTGRN","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-ORG","CLEARANCE-PLKDT-ORG","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-PNK","CLEARANCE-PLKDT-PNK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-PSTLBLU","CLEARANCE-PLKDT-PSTLBLU","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-PUR","CLEARANCE-PLKDT-PUR","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-RED","CLEARANCE-PLKDT-RED","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-SMN","CLEARANCE-PLKDT-SMN","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Polka Dot Bead","focal-beads","CLEARANCE-PLKDT-TEAL","CLEARANCE-PLKDT-TEAL","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"P","clearance-section","CLEARANCE-PWPRNTHRT-10PK","CLEARANCE-PWPRNTHRT-10PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Clearance Beadable Keychain","clearance-section","CLEARANCE-REGKYCHN-BLKISH","CLEARANCE-REGKYCHN-BLKISH","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"keleton Finger Focal Bead","clearance-section","CLEARANCE-SKLTN-PNK","CLEARANCE-SKLTN-PNK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"keleton Finger Focal Bead","clearance-section","CLEARANCE-SKLTN-PUR","CLEARANCE-SKLTN-PUR","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"M","clearance-section","CLEARANCE-SLDCLR-MSSGRN-10PK","CLEARANCE-SLDCLR-MSSGRN-10PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm Rhine tone Bead","clearance-section","CLEARANCE-SMHLE-LMGRN-RHNST-45","CLEARANCE-SMHLE-LMGRN-RHNST-45","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm Rhine tone Bead","clearance-section","CLEARANCE-SMHLE-LMGRN-RHNST-50","CLEARANCE-SMHLE-LMGRN-RHNST-50","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"pooky Bead  10 Pack","clearance-section","CLEARANCE-SMLLCHLDRN-10PK","CLEARANCE-SMLLCHLDRN-10PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Clearance 27mm  miley Flower Large Hole Acrylic Bead","clearance-section","CLEARANCE-SMLYFLWR-MIX-10PK","CLEARANCE-SMLYFLWR-MIX-10PK","10","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Beaded Pen Acce orie","spacers-accessories","CLEARANCE-SNAKE","CLEARANCE-SNAKE","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"enior Bead","charms-dangles","CLEARANCE-SNR2025","CLEARANCE-SNR2025","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm  ilicone Abacu  Bead","clearance-section","CLEARANCE-TMTORED-ABA","CLEARANCE-TMTORED-ABA","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"14mm  ilicone Abacu  Bead","clearance-section","CLEARANCE-TMTORED-LENT","CLEARANCE-TMTORED-LENT","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-ANMLSCRBS-1PK","FLB-ANMLSCRBS-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-APPLE-1PK","FLB-APPLE-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BBYCW-1PK","FLB-BBYCW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BEKINDMIND-1PK","FLB-BEKINDMIND-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BELIEVE-1PK","FLB-BELIEVE-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Be Kind Flatback","acrylic-flatbacks","FLB-BENETHNGKND-1PK","FLB-BENETHNGKND-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BEOKAY-1PK","FLB-BEOKAY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BIGFLWR-1PK","FLB-BIGFLWR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BIGFOOT-1PK","FLB-BIGFOOT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BKSLVLANG-1PK","FLB-BKSLVLANG-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Floral Cro  Flatback","acrylic-flatbacks","FLB-BLUCRSS-1PK","FLB-BLUCRSS-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BRTHDYSPCLST-1PK","FLB-BRTHDYSPCLST-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Ba eball Mom Badge Reel Topper","acrylic-flatbacks","FLB-BSBLLHMR-1PK","FLB-BSBLLHMR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Wa n't A Bitch Today Badge Reel Topper","acrylic-flatbacks","FLB-BTCHTDY-1PK","FLB-BTCHTDY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Chri tian Flatback","acrylic-flatbacks","FLB-BTMYJESUS-1PK","FLB-BTMYJESUS-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BTTLEMTNS-1PK","FLB-BTTLEMTNS-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-BUTTFLYOK-1PK","FLB-BUTTFLYOK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Chri tian Flatback","acrylic-flatbacks","FLB-BYTHEIRFRUIT-1PK","FLB-BYTHEIRFRUIT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Cardiac  onographer Badge Reel Topper","acrylic-flatbacks","FLB-CARDIAC-1PK","FLB-CARDIAC-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-CHLLPLL-1PK","FLB-CHLLPLL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-CHSCRDNTR-1PK","FLB-CHSCRDNTR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Chao  Coordinator Badge Reel Topper Pink","acrylic-flatbacks","FLB-CHSCRDNTRPNK-1PK","FLB-CHSCRDNTRPNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Highland Cow Flatback","acrylic-flatbacks","FLB-CHTHBWCW-1PK","FLB-CHTHBWCW-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-CRDLGY-1PK","FLB-CRDLGY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-CRFTHMR-1PK","FLB-CRFTHMR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-CTRLTHMDS-1PK","FLB-CTRLTHMDS-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-CZYSSN-1PK","FLB-CZYSSN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DADNTL-1PK","FLB-DADNTL-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DEER-1PK","FLB-DEER-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DENSQU-1PK","FLB-DENSQU-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DMPSTRFN-1PK","FLB-DMPSTRFN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DNTASK67-1PK","FLB-DNTASK67-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DNTJDG-1PK","FLB-DNTJDG-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DNTLASST-1PK","FLB-DNTLASST-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DNTLHYGNTST-1PK","FLB-DNTLHYGNTST-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DNTWRRY-1PK","FLB-DNTWRRY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DOLPN-1PK","FLB-DOLPN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DOMATH67-1PK","FLB-DOMATH67-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-DRNKWTR-1PK","FLB-DRNKWTR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-ESTRBNNY-1PK","FLB-ESTRBNNY-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-EVRYTHNGFNCT-1PK","FLB-EVRYTHNGFNCT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Flatback","charms-dangles","FLB-EVRYTHNGFNE-1PK","FLB-EVRYTHNGFNE-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Funny Goo e Flatback","acrylic-flatbacks","FLB-FLABBERS-1PK","FLB-FLABBERS-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"F","acrylic-flatbacks","FLB-FLL-PMPKN-1PK","FLB-FLL-PMPKN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"F","acrylic-flatbacks","FLB-FLL-STTCHD-1PK","FLB-FLL-STTCHD-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
